git commit -m "Proyecto inicial de web scraping con Django"id,name,price,quantity,image_url,source,category,description
1,MERMELADA SIN AZUCAR NATRI 220GR,5600.0,"220 g (g a $ 25,45)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003536.png,D1,,
2,TRIDENT MENTA SIN AZUCAR 5S,1600.0,"8.5 g (g a $ 188,24)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003918.png,D1,,
3,AZÚCAR BLANCA 1000 GRS,4390.0,"1000 g (g a $ 4,39)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000249.png,D1,,
4,AZÚCAR MORENA 1000 GRS,4490.0,"1000 g (g a $ 4,49)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000250.png,D1,,
5,AGUARDIENTE ANTIOQUEÑO SIN AZUCAR 750 ML,49950.0,"750 ml (ml a $ 66,6)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002708.png,D1,,
6,BEBIDA ALMENDRA SIN AZUCAR ALMONDEE 1000ML...,7990.0,"1000 ml (ml a $ 7,99)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004193.png,D1,,
7,TRIDENT SIN AZUCAR FRESHMINT 14 UNDS,2990.0,"25.2 g (g a $ 118,65)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006738.png,D1,,
8,TRIDENT SIN AZUCAR SANDIA 14 UNDS,2990.0,"25.2 g (g a $ 118,65)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006739.png,D1,,
9,TRIDENT SIN AZUCAR YERBABUENA 14 UNDS,2990.0,"25.2 g (g a $ 118,65)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006740.png,D1,,
10,CHOCOLATE SOL 50% MENOS AZUCAR 280GR,12950.0,"280 g (g a $ 46,25)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12007222.png,D1,,
11,CHOCOLATE 50% MENOS AZUCAR SOL 320 G,14900.0,"320 g (g a $ 46,56)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000637.png,D1,,
12,GASEOSA COCA COLA SIN AZUCAR PET 250ML,1300.0,"250 ml (ml a $ 5,2)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004549.png,D1,,
13,PAN MULTIGRANOS NATRI 0 AZUCAR 450 G,4650.0,"450 g (g a $ 10,33)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003895.png,D1,,
14,TRIDENT SIN AZUCAR BOTELLA CITRUS 18 UN,7990.0,"37.8 g (g a $ 211,38)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006737.png,D1,,
15,YOGURT GRIEGO NATURAL SIN AZUCAR 330 GR,6950.0,"330 g (g a $ 21,06)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003254.png,D1,,
16,AREQUIPE SIN AZÚCAR NATRI 250 GR,7990.0,"250 g (g a $ 31,96)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001282.png,D1,,
17,GASEOSA COCA COLA SIN AZÚCAR 1750 ML,5650.0,"1750 ml (ml a $ 3,23)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002693.png,D1,,
18,GASEOSA COCA COLA SIN AZÚCAR 2 UNDX2.5L,13750.0,2.5 l (l a $ 5.500),https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005529.png,D1,,
19,TURRONES DE GRANOLA SIN AZÚCAR NATRI 150 GRS...,5490.0,"150 g (g a $ 36,6)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000259.png,D1,,
20,GALLETA WAFER VAINILLA SIN AZUCAR BRIDGE 6 PK ...,9990.0,"168 g (g a $ 59,46)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003201.png,D1,,
21,ARROZ DIANA 500 G,2100.0,"500 g (g a $ 4,2)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002073.png,D1,,
22,ARROZ ECONÓMICO 2000 GRS,6490.0,"2000 g (g a $ 3,25)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002541.png,D1,,
23,ARROZ ECONÓMICO 454 GRS,1480.0,"454 g (g a $ 3,26)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000208.png,D1,,
24,ARROZ ESTÁNDAR 2500G,9150.0,"2500 g (g a $ 3,66)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005770.png,D1,,
25,ARROZ ESTÁNDAR 500 GRS,1850.0,"500 g (g a $ 3,7)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000051.png,D1,,
26,ARROZ INTEGRAL DIANA 1.000 G,4500.0,"1000 g (g a $ 4,5)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003653.png,D1,,
27,ARROZ PREMIUM 1000 GRS,4500.0,"1000 g (g a $ 4,5)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000083.png,D1,,
28,ARROZ PREMIUM 2500 G,11250.0,"2500 g (g a $ 4,5)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002416.png,D1,,
29,ARROZ SABOR A COCO DIANA 1.000 G,6300.0,"1000 g (g a $ 6,3)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004677.png,D1,,
30,ARVEJA EL ESTIO 500 GRS,1990.0,"500 g (g a $ 3,98)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000039.png,D1,,
31,ENDULZANTE CON STEVIA NATRI 180 G,6150.0,"180 g (g a $ 34,17)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002470.png,D1,,
32,ENDULZANTE FRASCO 180 GRS,4990.0,"180 g (g a $ 27,72)",https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000118.png,D1,,
